"","id","fullName","link","career_goals","career_points","career_PIM"
"150",8445959,"John Duggan","/api/v1/people/8445959",0,0,0
"151",8447181,"Hec Kilrea","/api/v1/people/8447181",166,296,452
"152",8445514,"Lionel Conacher","/api/v1/people/8445514",78,186,890
"153",8445648,"Baldy Cotton","/api/v1/people/8445648",101,205,449
"154",8445843,"Harold Darragh","/api/v1/people/8445843",68,117,44
"155",8445955,"Herb Drury","/api/v1/people/8445955",24,37,223
"156",8447741,"Duke McCurry","/api/v1/people/8447741",21,33,121
"157",8447859,"Hib Milks","/api/v1/people/8447859",88,129,181
"158",8449082,"Rodger Smith","/api/v1/people/8449082",20,24,180
"159",8449392,"Tex White","/api/v1/people/8449392",33,47,145
"160",8450153,"Roy Worters","/api/v1/people/8450153",NA,NA,NA
"161",8445068,"Fred Bergdinon","/api/v1/people/8445068",0,0,0
"162",8445152,"John Brackenborough","/api/v1/people/8445152",0,0,0
"163",8445306,"Charles Cahill","/api/v1/people/8445306",0,1,9
"164",8446703,"Hago Harrington","/api/v1/people/8446703",9,14,31
"165",8447329,"Bonner Larose","/api/v1/people/8447329",0,0,0
"166",8450104,"Moe Roberts","/api/v1/people/8450104",NA,NA,NA
"167",8445578,"Roger Cormier","/api/v1/people/8445578",0,0,0
"168",8446897,"Bill Holmes","/api/v1/people/8446897",6,10,37
"169",8447328,"Wildor Larochelle","/api/v1/people/8447328",92,167,213
"170",8447371,"Albert Leduc","/api/v1/people/8447371",57,93,622
"171",8447465,"Hec Lepine","/api/v1/people/8447465",5,7,2
"172",8447466,"Pit Lepine","/api/v1/people/8447466",143,240,394
"173",8447795,"John McKinnon","/api/v1/people/8447795",28,37,195
"174",8448101,"Rollie Paulhus","/api/v1/people/8448101",0,0,0
"175",8450012,"Frenchy Lacroix","/api/v1/people/8450012",NA,NA,NA
"176",8450099,"Herb Rheaume","/api/v1/people/8450099",NA,NA,NA
"177",8444851,"Gordon Spence","/api/v1/people/8444851",0,0,0
"178",8445047,"Pete Bellefeuille","/api/v1/people/8445047",26,32,56
"179",8445178,"Bernie Brophy","/api/v1/people/8445178",4,8,25
"180",8445346,"Frank Carson","/api/v1/people/8445346",42,90,170
"181",8446914,"George Horne","/api/v1/people/8446914",9,12,34
"182",8447216,"Hobie Kitchen","/api/v1/people/8447216",5,9,58
"183",8448141,"Merlyn Phillips","/api/v1/people/8448141",52,83,228
"184",8449038,"Babe Siebert","/api/v1/people/8449038",140,294,1002
"185",8449189,"Nels Stewart","/api/v1/people/8449189",324,515,955
"186",8445109,"Rene Boileau","/api/v1/people/8445109",0,0,0
"187",8446665,"Bob Hall","/api/v1/people/8446665",0,0,0
"188",8447896,"John Morrison","/api/v1/people/8447896",0,1,0
"189",8449045,"Joe Simpson","/api/v1/people/8449045",21,40,172
"190",8450000,"Joe Ironstone","/api/v1/people/8450000",NA,NA,NA
"191",8445940,"Ken Doraty","/api/v1/people/8445940",15,41,24
"192",8445968,"Duke Dukowski","/api/v1/people/8445968",16,46,186
"193",8446489,"Gord Fraser","/api/v1/people/8446489",24,36,235
"194",8446750,"George Hay","/api/v1/people/8446750",74,136,87
"195",8447020,"Dick Irvin","/api/v1/people/8447020",29,52,84
"196",8447545,"Mickey MacKay","/api/v1/people/8447545",44,63,79
"197",8447771,"Gord McFarlane","/api/v1/people/8447771",0,0,0
